Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,CompEff_standard
5,West,10,B,Double,Resistance,Mix,Rye,RyeMix,16.55,28.25,16.388333,1.218797998,1.21453478,-0.004263218,16.55,28.25,27.09568144,186.0824742,42.7,35,0,0,0.28484924,-0.289112458
5,West,15,C,Double,Resistance,Mix,Rye,RyeMix,15.26,26.93,16.388333,1.183554534,1.21453478,0.030980246,15.26,26.93,30.29999179,224.4239631,38.3,35,0,0,0.28484924,-0.253868994
6,West,5,C,Double,Resistance,Mix,Rye,RyeMix,12.91,29.2,16.388333,1.110926242,1.21453478,0.103608538,12.91,29.2,29.25776718,193.5099338,35,30,0,0,0.28484924,-0.181240702
6,West,10,B,Double,Resistance,Mix,Rye,RyeMix,18.64,30.71,16.388333,1.270445908,1.21453478,-0.055911128,18.64,30.71,28.1468874,212.8706159,38.7,40,0,0,0.28484924,-0.340760368
2,East,3,A,Long,Control,Mix,Fes,FesMix,32.96,143.019,56.7075,1.517987203,1.753640501,0.235653298,32.96,143.019,18.45740278,137.7990431,25.4,80,3,2,0.3785015,-0.142848202
2,East,8,C,Long,Control,Mix,Fes,FesMix,21.67,99.783,56.7075,1.335858911,1.753640501,0.41778159,21.67,99.783,18.62498692,148.020654,27.65,90,3,2,0.3785015,0.03928009
2,East,9,A,Long,Control,Mix,Fes,FesMix,21.03,90.6105,56.7075,1.322839273,1.753640501,0.430801228,21.03,90.6105,17.1493823,150.7121334,21.35,60,0,2,0.3785015,0.052299728
2,East,14,C,Long,Control,Mix,Fes,FesMix,21.08,102.5205,56.7075,1.323870607,1.753640501,0.429769894,21.08,102.5205,17.991,157.510841,33.55,70,0,2,0.3785015,0.051268394
1,West,2,C,Long,Recovery,Mix,Fes,FesMix,22.39,38.86,15.326667,1.350054094,1.185447722,-0.164606372,22.39,38.86,21.69769535,182.129278,45.95,100,0,1,0.3785015,-0.543107872
1,West,7,A,Long,Recovery,Mix,Fes,FesMix,17.91,32.88,15.326667,1.253095586,1.185447722,-0.067647864,17.91,32.88,22.68874896,193.0775937,39.45,40,0,1,0.3785015,-0.446149364
4,West,2,B,Long,Recovery,Mix,Fes,FesMix,16.13,50.86,15.326667,1.207634367,1.185447722,-0.022186645,16.13,50.86,21.37193422,209.4350125,34.15,55,0,1,0.3785015,-0.400688145
4,West,7,B,Long,Recovery,Mix,Fes,FesMix,18.91,39.42,15.326667,1.276691529,1.185447722,-0.091243807,18.91,39.42,22.24172449,181.3135985,41,100,1,1,0.3785015,-0.469745307
6,East,1,B,Long,Recovery,Mix,Fes,FesMix,19.56,32.56,15.326667,1.29136885,1.185447722,-0.105921128,19.56,32.56,22.980415,199.80481,50.6,35,0,1,0.3785015,-0.484422628
