Shelter,Sidex,Rep,sRep,AGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,Side,Trt,Ttype,SeedHead
6,W,9,A,14.21,31.87230723,190.8045977,53.55,65,West,Double,Resistance,0
6,E,1,A,9.86,31.68513592,182.300885,38.45,40,East,Long,Recovery,0
2,E,3,B,70.62,31.4054549,186.5398683,32.7,70,East,Long,Control,0
6,W,6,A,7.98,31.30183734,170.1257862,43.6,65,West,Double,Resistance,0
5,E,3,A,13.53,31.04,124.02,38.3,50,East,Short,Resistance,0
2,E,1,A,56.49,30.92537398,127.1975181,28.1,150,East,Long,Control,23
6,W,14,C,73.28,30.84675849,185.9649123,43.85,130,West,Double,Recovery,2
3,E,5,B,64.13,30.60057075,202.8708134,32.1,140,East,Double,Control,4
4,W,7,C,12.74,30.26836438,179.4493609,49.7,90,West,Long,Recovery,0
4,W,2,C,16.18,30.18515352,158.392435,43.55,90,West,Long,Recovery,0
6,W,10,B,5.18,30.16998347,201.6666667,42.8,20,West,Double,Resistance,0
3,E,9,C,13.69,29.91493052,168.1667456,35.95,220,East,Double,Control,13
5,W,7,A,49.33,29.91212953,165.5555556,35.25,160,West,Double,Recovery,11
3,W,13,A,27.89,29.84740665,184.2565598,43.85,NA,West,Double,Resistance,0
4,W,5,A,19.81,29.82086588,181.0391002,41.6,460,West,Long,Recovery,1
4,W,1,A,51.54,29.76460476,187.6675603,38.4,160,West,Long,Recovery,20
5,W,3,A,45.51,29.74266667,195.6521739,43.75,100,West,Double,Recovery,0
6,E,3,A,18.42,29.24302083,189.8305085,40.15,40,East,Long,Recovery,0
3,W,16,B,5.35,29.07162543,212.4087591,32.45,NA,West,Double,Resistance,0
6,E,4,A,11.46,29.06488285,183.8461538,36.3,40,East,Long,Recovery,0
5,E,6,B,5.2,28.94393994,186.0335196,35.65,40,East,Short,Recovery,0
1,W,2,A,10.37,28.91534555,186.0691671,46.85,70,West,Long,Recovery,0
1,W,2,B,6.98,28.78502733,226.7561983,46.45,260,West,Long,Recovery,0
3,E,9,A,20.6,28.74160394,193.1530008,21.5,140,East,Double,Control,0
5,W,10,A,6.85,28.68925574,200.3067485,41,60,West,Double,Resistance,0
3,E,7,C,20.07,28.63112574,170.9709999,40.35,200,East,Double,Control,0
2,E,8,C,21.67,28.62498692,148.020654,27.65,90,East,Long,Control,3
5,E,1,A,6.19,28.51156836,186.1818182,43.75,45,East,Short,Recovery,0
1,W,15,A,28.06,28.50735288,176.7143934,42.95,340,West,Long,Recovery,2
4,W,6,A,15.99,28.49567069,199.1576414,47.35,110,West,Long,Recovery,0
2,E,3,A,32.96,28.45740278,137.7990431,25.4,80,East,Long,Control,3
3,E,16,A,48.93,28.41878455,181.4727242,39.75,220,East,Double,Control,1
3,E,7,B,23.58,28.39375527,174.7380346,28.95,110,East,Double,Control,8
2,E,3,C,6.14,28.38654485,184.1262016,21.2,130,East,Long,Control,0
2,W,11,B,4.66,28.36,158.49,31.6,25,West,Short,Resistance,0
6,W,3,B,27.06,28.08111905,196.2616822,43.8,140,West,Double,Recovery,0
5,W,9,A,26.73,28.06617726,169.7095436,45.45,55,West,Double,Resistance,0
4,W,2,A,8.81,27.93321301,198.9647363,33.15,90,West,Long,Recovery,0
3,W,16,C,23.8,27.91617595,156.445993,43.95,NA,West,Double,Resistance,0
2,W,1,A,36.06,27.86834218,194.5652174,44.8,170,West,Short,Recovery,0
1,W,1,A,12.99,27.81649581,NA,44.65,275,West,Long,Recovery,0
3,E,3,C,68.49,27.72755375,185.4237971,22.35,170,East,Double,Control,4
