Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,Iso_g_raw,log_mixAGB,log_isoAGB,CompEffect,AGB_g,BGB_g,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_mm,SeedHead,PhaseNum,Control_CompEffect,RelCompEffect,RelCompEffect_pos,RelCompEffect_0to1,CompEffect_diff
4,East,16,A,Short,Resistance,Mix,Fes,FesMix,4.83,12.0082,3.97,0.683947131,0.598790507,-0.085156624,4.83,12.0082,16.47,254.29,34.5,50,0,0,0.06491341,-1.311849493,5.332765295,0.480337413,-0.150070034
2,West,11,A,Short,Resistance,Mix,Fes,FesMix,4.79,9.5892,3.97,0.680335513,0.598790507,-0.081545006,4.79,9.5892,19.23,226.34,36.3,25,0,0,0.06491341,-1.256212022,5.388402766,0.485348839,-0.146458416
6,East,5,B,Long,Recovery,Mix,Rye,RyeMix,17.31,43.29,14.66,1.238297068,1.16613397,-0.072163098,17.31,43.29,26.37738144,206.3829787,53.3,50,5,1,0.45912076,-0.157176726,6.487438062,0.58434209,-0.531283858
1,West,7,A,Long,Recovery,Mix,Fes,FesMix,17.91,32.88,15.326667,1.253095586,1.185447722,-0.067647864,17.91,32.88,22.68874896,193.0775937,39.45,40,0,1,0.3785015,-0.178725485,6.465889303,0.582401132,-0.446149364
6,West,10,B,Double,Resistance,Mix,Rye,RyeMix,18.64,30.71,16.388333,1.270445908,1.21453478,-0.055911128,18.64,30.71,28.1468874,212.8706159,38.7,40,0,0,0.28484924,-0.196283227,6.448331561,0.580819656,-0.340760368
5,East,15,A,Short,Resistance,Mix,Pha,PhaMix,5.84,20.99,5.207143,0.766412847,0.716599505,-0.049813342,5.84,20.99,28.090119,206.5619339,42.3,30,0,0,0.31125801,-0.160038747,6.484576041,0.5840843,-0.361071352
4,West,2,C,Long,Recovery,Mix,Rye,RyeMix,16.18,50.86,14.66,1.208978517,1.16613397,-0.042844547,16.18,50.86,30.18515352,198.392435,43.55,90,0,1,0.45912076,-0.093318688,6.5512961,0.590093966,-0.501965307
4,West,2,B,Long,Recovery,Mix,Fes,FesMix,16.13,50.86,15.326667,1.207634367,1.185447722,-0.022186645,16.13,50.86,21.37193422,209.4350125,34.15,55,0,1,0.3785015,-0.05861706,6.585997728,0.593219641,-0.400688145
3,West,10,B,Double,Resistance,Mix,Rye,RyeMix,17.16,33.72,16.388333,1.234517284,1.21453478,-0.019982504,17.16,33.72,28.21551345,262.3529412,41.9,30,0,0,0.28484924,-0.070151158,6.57446363,0.592180732,-0.304831744
4,East,16,B,Short,Resistance,Mix,Rye,RyeMix,12.23,16.0082,12.051429,1.087426457,1.081038546,-0.006387911,12.23,16.0082,22.24,300.51,37.4,45,0,0,0.19165497,-0.033330265,6.611284523,0.595497295,-0.198042881
