Shelter,Side,Rep,sRep,Experiment,Phase,Type,Species,PotType,AGB_g,BGB_g,RS_ratio,SLA_mm2.mg,LDMC_mg.g,SPAD,Ht_cm,SeedHead,PhaseNum
5,West,4,C,Double,Recovery,Mix,Rye,RyeMix,37.72,137.12,NA,28.01720333,180.4545455,42.4,65,0,1
5,West,5,A,Double,Recovery,Pha,Pha,PhaPha,46.33,58.03,1.252536154,23.47871739,185.3405995,41.75,75,0,1
5,West,6,A,Double,Recovery,Fes,Fes,FesFes,32.94,32.55,0.988160291,19.0567217,199.0540541,38.5,90,0,1
5,West,7,A,Double,Recovery,Pha,Pha,PhaPha,49.33,47.32,0.959254004,25.91212953,165.5555556,35.25,160,11,1
5,West,8,A,Double,Recovery,Mix,Pha,PhaMix,31.27,144.86,NA,28.35468701,218.3622351,34.75,90,0,1
5,West,8,B,Double,Recovery,Mix,Fes,FesMix,26.04,144.86,NA,23.3011253,180.4312115,33.35,75,0,1
5,West,8,C,Double,Recovery,Mix,Rye,RyeMix,37.24,144.86,NA,27.54606957,185.483871,52.8,80,0,1
5,West,9,A,Double,Resistance,Fes,Fes,FesFes,26.73,27.92,1.044519267,18.06617726,209.7095436,45.45,55,0,0
5,West,10,A,Double,Resistance,Mix,Pha,PhaMix,6.85,28.25,NA,23.68925574,200.3067485,41,60,0,0
5,West,10,B,Double,Resistance,Mix,Rye,RyeMix,16.55,28.25,NA,27.09568144,186.0824742,42.7,35,0,0
5,West,10,C,Double,Resistance,Mix,Fes,FesMix,7.37,28.25,NA,20.65396222,174.4186047,42.4,45,0,0
5,West,11,A,Double,Resistance,Pha,Pha,PhaPha,20.66,17.52,0.848015489,27.39670909,183.8440111,36.4,60,0,0
5,West,12,A,Double,Resistance,Pha,Pha,PhaPha,22.29,15.73,0.705697622,31.5516486,221.5789474,34.5,70,0,0
5,West,13,A,Double,Resistance,Rye,Rye,RyeRye,18.45,18.68,1.012466125,26.85518715,193.7728938,37.6,55,0,0
5,West,14,A,Double,Resistance,Fes,Fes,FesFes,17.15,25.35,1.478134111,19.60259964,196.819788,41.75,30,0,0
5,West,15,A,Double,Resistance,Mix,Pha,PhaMix,6.58,26.93,NA,22.94507531,256.9892473,37.3,40,0,0
5,West,15,B,Double,Resistance,Mix,Fes,FesMix,6.8,26.93,NA,21.50424388,190.5839227,36.1,15,0,0
5,West,15,C,Double,Resistance,Mix,Rye,RyeMix,15.26,26.93,NA,30.29999179,224.4239631,38.3,35,0,0
5,West,16,A,Double,Resistance,Rye,Rye,RyeRye,15.57,16.04,1.030186256,22.0549331,246.9565217,41.1,30,0,0
6,East,1,A,Long,Recovery,Mix,Rye,RyeMix,19.86,32.56,NA,31.68513592,182.300885,38.45,85,0,1
6,East,1,B,Long,Recovery,Mix,Fes,FesMix,19.56,32.56,NA,22.980415,199.80481,50.6,55,0,1
6,East,1,C,Long,Recovery,Mix,Pha,PhaMix,4.99,32.56,NA,29.4396,203.7037037,28.7,220,0,1
6,East,2,A,Long,Recovery,Fes,Fes,FesFes,16.65,18.99,1.140540541,15.98711143,226.557377,41.75,50,0,1
6,East,3,A,Long,Recovery,Rye,Rye,RyeRye,18.42,33.92,1.841476656,29.24302083,189.8305085,40.15,80,0,1
6,East,4,A,Long,Recovery,Rye,Rye,RyeRye,11.46,31.25,2.726876091,29.06488285,183.8461538,36.3,60,0,1
6,East,5,A,Long,Recovery,Mix,Fes,FesMix,15.15,43.29,NA,23.38148494,172.9411765,44.6,65,0,1
6,East,5,B,Long,Recovery,Mix,Rye,RyeMix,17.31,43.29,NA,26.37738144,206.3829787,53.3,90,5,1
6,East,5,C,Long,Recovery,Mix,Pha,PhaMix,6.98,43.29,NA,25.94693897,203.8277512,54.1,150,0,1
6,East,6,A,Long,Recovery,Fes,Fes,FesFes,11.05,19.93,1.80361991,15.33878768,208.9812332,54.1,80,0,1
6,East,7,A,Long,Recovery,Pha,Pha,PhaPha,24.65,26.07,1.057606491,27.19884612,179.0124875,44.4,190,0,1
6,East,8,A,Long,Resistance,Rye,Rye,RyeRye,12.66,25.78,2.036334913,24.8503292,211.7006283,27.7,50,0,0
6,East,9,A,Long,Resistance,Rye,Rye,RyeRye,12.28,25.1,2.043973941,23.66513913,230,27.5,40,0,0
6,East,10,A,Long,Recovery,Pha,Pha,PhaPha,25.97,25.45,0.979976896,25.33751589,189.0459364,47.55,110,0,1
6,East,11,A,Long,Resistance,Mix,Rye,RyeMix,5.15,15.48,NA,31.97541667,199.0825688,NA,20,0,0
6,East,11,B,Long,Resistance,Mix,Fes,FesMix,3.83,15.48,NA,25.04774869,203.1914894,NA,30,0,0
6,East,11,C,Long,Resistance,Mix,Pha,PhaMix,2.41,15.48,NA,26.35367841,215.1658768,38.35,65,0,0
6,East,12,A,Long,Resistance,Pha,Pha,PhaPha,3.92,7.23,1.844387755,23.42192174,240.4878049,19.2,60,0,0
6,East,13,A,Long,Resistance,Fes,Fes,FesFes,12.73,10.08,0.791830322,14.69123542,255.5353839,30.4,50,0,0
6,East,14,A,Long,Resistance,Pha,Pha,PhaPha,4.34,5.84,1.34562212,25.25345363,238.0745342,38.75,55,0,0
6,East,15,A,Long,Resistance,Mix,Rye,RyeMix,4.7,13.15,NA,27.49095484,203.0827068,45.3,35,0,0
6,East,15,B,Long,Resistance,Mix,Pha,PhaMix,2.9,13.15,NA,29.07273947,256.7567568,46.6,60,0,0
6,East,15,C,Long,Resistance,Mix,Fes,FesMix,3.21,13.15,NA,23.18064706,208.5106383,NA,10,0,0
6,East,16,A,Long,Resistance,Fes,Fes,FesFes,11.99,9.79,0.816513761,13.16343772,249.7164517,29.8,50,0,0
6,West,1,A,Double,Recovery,Fes,Fes,FesFes,57.46,64.2,1.117298991,18.96478523,215.3179191,39.25,90,0,1
6,West,2,A,Double,Recovery,Pha,Pha,PhaPha,63.54,61.37,0.965848285,26.60002518,177.5223499,56.75,90,12,1
6,West,3,A,Double,Recovery,Mix,Fes,FesMix,25.25,137.55,NA,23.62850625,188.6792453,33.05,120,0,1
6,West,3,B,Double,Recovery,Mix,Pha,PhaMix,27.06,137.55,NA,28.08111905,206.2616822,43.8,140,0,1
6,West,3,C,Double,Recovery,Mix,Rye,RyeMix,44.26,137.55,NA,26.13842058,191.0447761,54.65,130,10,1
6,West,4,A,Double,Recovery,Rye,Rye,RyeRye,46.27,60.76,1.313161876,27.64484571,182.4137931,48.75,60,0,1
6,West,5,A,Double,Resistance,Mix,Pha,PhaMix,5.87,29.2,NA,24.70725882,230.2681992,38.8,30,0,0
6,West,5,B,Double,Resistance,Mix,Fes,FesMix,5.07,29.2,NA,21.89541096,172.2772277,37.8,20,0,0
6,West,5,C,Double,Resistance,Mix,Rye,RyeMix,12.91,29.2,NA,29.25776718,193.5099338,35,30,0,0
6,West,6,A,Double,Resistance,Pha,Pha,PhaPha,27.95,16.47,0.589266547,30.4395,196.5089408,36.8,50,0,0
6,West,7,A,Double,Resistance,Rye,Rye,RyeRye,11.71,11.62,0.992314261,20.0817364,222.3255814,48.7,40,0,0
