Date,Period,Shelter,Side,Rep,Type,sREP,Species,Height_mm.raw,LeafWidth_mm.raw,LeafLength_mm.raw,SPAD1.raw,SPAD2.raw,Tillers.raw,Height_mm,LeafWidth_mm,LeafLength_mm,SPAD1,SPAD2,SPAD_mean,Tillers
25/05/2018,Pre,4,East,1,M,c,Pha,25,6.5,100,29.4,30,NA,25,6.5,100,29.4,30,29.7,NA
25/05/2018,Pre,4,East,2,S,a,Pha,15,4.1,55,TS,NA,NA,15,4.1,55,NA,NA,NA,NA
25/05/2018,Pre,4,East,3,S,a,Rye,40,3.3,165,41.3,47,NA,40,3.3,165,41.3,47,44.15,NA
25/05/2018,Pre,4,East,4,S,a,Pha,20,6.2,105,34.8,29.9,NA,20,6.2,105,34.8,29.9,32.35,NA
25/05/2018,Pre,4,East,5,M,a,Pha,20,4.8,90,32.9,29.1,NA,20,4.8,90,32.9,29.1,31,NA
25/05/2018,Pre,4,East,5,M,b,Fes,35,6.3,195,31.7,36.4,NA,35,6.3,195,31.7,36.4,34.05,NA
25/05/2018,Pre,4,East,5,M,c,Rye,35,3.3,175,41.9,42.5,NA,35,3.3,175,41.9,42.5,42.2,NA
25/05/2018,Pre,4,East,6,S,a,Rye,35,3.4,180,39.3,39.4,NA,35,3.4,180,39.3,39.4,39.35,NA
25/05/2018,Pre,4,East,7,S,a,Fes,30,6.3,150,41.8,40.7,NA,30,6.3,150,41.8,40.7,41.25,NA
25/05/2018,Pre,4,East,8,S,a,Pha,1,1.9,30,TS,NA,NA,1,1.9,30,NA,NA,NA,NA
25/05/2018,Pre,4,East,9,S,a,Rye,25,2.9,130,36.2,34.3,NA,25,2.9,130,36.2,34.3,35.25,NA
25/05/2018,Pre,4,East,10,S,a,Pha,30,8.2,140,43.2,49.6,NA,30,8.2,140,43.2,49.6,46.4,NA
25/05/2018,Pre,4,East,11,M,a,Fes,40,6.8,240,48.8,38.1,NA,40,6.8,240,48.8,38.1,43.45,NA
25/05/2018,Pre,4,East,11,M,b,Rye,25,3.4,150,40.5,38.8,NA,25,3.4,150,40.5,38.8,39.65,NA
25/05/2018,Pre,4,East,11,M,c,Pha,35,7.8,175,33.6,30.5,NA,35,7.8,175,33.6,30.5,32.05,NA
25/05/2018,Pre,4,East,12,S,a,Fes,30,5.7,165,38.4,38,NA,30,5.7,165,38.4,38,38.2,NA
25/05/2018,Pre,4,East,13,S,a,Fes,40,6.5,175,41.3,38.3,NA,40,6.5,175,41.3,38.3,39.8,NA
25/05/2018,Pre,4,East,14,S,a,Fes,25,7.4,180,37.9,38.7,NA,25,7.4,180,37.9,38.7,38.3,NA
25/05/2018,Pre,4,East,15,S,a,Rye,35,3.8,190,47.6,41.3,NA,35,3.8,190,47.6,41.3,44.45,NA
25/05/2018,Pre,4,East,16,M,a,Fes,35,6.2,210,33.7,37.8,NA,35,6.2,210,33.7,37.8,35.75,NA
25/05/2018,Pre,4,East,16,M,b,Rye,25,3.5,185,37.3,34.9,NA,25,3.5,185,37.3,34.9,36.1,NA
25/05/2018,Pre,4,East,16,M,c,Pha,50,6.7,175,27.2,30.2,NA,50,6.7,175,27.2,30.2,28.7,NA
25/05/2018,Pre,4,West,1,S,a,Rye,30,3.1,150,39.4,30.3,NA,30,3.1,150,39.4,30.3,34.85,NA
25/05/2018,Pre,4,West,2,M,a,Pha,20,7,100,25.8,33.7,NA,20,7,100,25.8,33.7,29.75,NA
25/05/2018,Pre,4,West,2,M,b,Fes,15,4.2,100,29.8,30.7,NA,15,4.2,100,29.8,30.7,30.25,NA
25/05/2018,Pre,4,West,2,M,c,Rye,20,3.3,100,38.1,TS,NA,20,3.3,100,38.1,NA,38.1,NA
